,real,forecast56,forecast84,forecast1092,forecast1456,forecast_averaged
2019-11-27 00:00:00,36.2,33.81723891844027,33.99006174929759,34.33741431835873,33.18332328995636,33.83200956901324
2019-11-27 01:00:00,35.32,33.134304574011416,33.576611445337164,32.08496728732852,30.60708719729425,32.35074262599284
2019-11-27 02:00:00,32.84,31.849354158020148,31.82039220196198,31.245724654877467,30.08252981729275,31.249500208038086
2019-11-27 03:00:00,30.23,32.16170311446829,29.506044892738146,31.326876355618605,29.61734881851356,30.65299329533465
2019-11-27 04:00:00,31.65,31.90853668920419,30.17420754895304,30.900511076774386,29.611205381178287,30.648615174027476
2019-11-27 05:00:00,34.8,35.1250317270676,33.90768418895411,33.60017815756102,32.26589280970808,33.724696720822706
2019-11-27 06:00:00,41.94,39.70869347949693,41.15910043103642,41.24988701735168,39.5266591551705,40.411085020763885
2019-11-27 07:00:00,50.68,48.00731811568427,48.61624122102478,50.010662699638694,48.71230325829193,48.83663132365992
2019-11-27 08:00:00,50.54,50.37472640563445,50.339848151028576,50.43345889463063,49.921020277177185,50.26726343211771
2019-11-27 09:00:00,46.32,48.5382247924245,47.76456209348383,47.524890011476316,46.49325757493554,47.58023361808005
2019-11-27 10:00:00,43.94,46.156920832416155,45.546634987704756,46.374387676141936,45.33691993702215,45.853715858321245
2019-11-27 11:00:00,43.93,44.36080355867466,45.296843902930355,44.96009830080229,44.98331147803858,44.900264310111474
2019-11-27 12:00:00,44.12,42.05897911438002,44.784025411687686,44.3113243060979,43.78369112017447,43.73450498808502
2019-11-27 13:00:00,43.87,42.21958588516495,42.079045599557475,41.20997289813421,41.52282830804445,41.75785817272527
2019-11-27 14:00:00,43.21,40.92504726999724,39.23229712506234,40.04441938216079,40.38183626898632,40.145900011551674
2019-11-27 15:00:00,43.41,43.17165223817169,41.57996587236661,39.19315209729464,39.61162124584107,40.8890978634185
2019-11-27 16:00:00,43.71,44.33773841740685,42.593183716430666,39.3022708300085,39.91493622443458,41.53703229707015
2019-11-27 17:00:00,46.6,45.662023712477705,45.001170536611006,40.77569193054649,41.47463356752357,43.22837993678969
2019-11-27 18:00:00,43.38,37.48554185407978,39.249895561243456,37.0756976915456,37.46718060162679,37.81957892712391
2019-11-27 19:00:00,38.96,32.25419500855419,33.142994597699754,35.93373511446462,35.527330901245605,34.21456390549105
2019-11-27 20:00:00,34.47,31.856816640110626,30.69128685139161,31.610877362991978,31.340002287657285,31.374745785537876
2019-11-27 21:00:00,33.69,28.98501594921592,28.65162090518284,27.007062759587694,27.602537810613853,28.061559356150077
2019-11-27 22:00:00,28.6,29.11728913323291,27.978339230686196,24.94968346467659,25.568628971389227,26.90348519999623
2019-11-27 23:00:00,25.58,23.139199615623816,22.719506461351656,15.883126337159412,17.12104561898504,19.71571950827998
2019-11-28 00:00:00,25.24,18.351360264585093,17.918058266772245,22.052968650899118,21.259509095989934,19.895474069561597
2019-11-28 01:00:00,21.23,17.058951216805063,15.969566804310672,19.996198686937927,18.187250471348086,17.802991794850435
2019-11-28 02:00:00,5.32,16.129531001319748,14.111199214873107,16.499111858798972,15.646021940825571,15.59646600395435
2019-11-28 03:00:00,1.94,17.249823528397002,11.322206184187086,15.305039981705766,14.130229270330187,14.501824741155012
2019-11-28 04:00:00,11.75,19.779383454564464,13.067237747017787,16.310172729975633,15.188886638042554,16.086420142400108
2019-11-28 05:00:00,23.53,24.74476963385924,21.397597117479986,19.91434481665148,19.615231878994628,21.41798586174633
2019-11-28 06:00:00,29.82,30.089276057219433,30.964527059326,28.200670472702516,28.28415708344339,29.384657668172835
2019-11-28 07:00:00,34.14,40.91762865241494,40.73257762983025,34.76427741858729,34.61908564733417,37.75839233704166
2019-11-28 08:00:00,40.38,40.917319533484026,41.42247767396323,35.65645341461558,35.89821225900192,38.47361572026619
2019-11-28 09:00:00,39.34,37.90622500085942,34.0689475090841,33.204131029442514,34.201749549885896,34.845263272317986
2019-11-28 10:00:00,38.52,33.962463202775986,35.176630559377514,32.548221150259536,32.98606649895023,33.66834535284082
2019-11-28 11:00:00,38.16,32.448633403244465,34.063360376670126,32.66439614301034,33.23257872247025,33.1022421613488
2019-11-28 12:00:00,35.44,30.093449248735727,30.13542787430049,31.980111624622943,32.46519685763907,31.16854640132456
2019-11-28 13:00:00,35.24,31.158382794745194,29.921211432283503,30.31187461096326,30.71633187353757,30.52695017788238
2019-11-28 14:00:00,35.7,33.56763856318369,27.602252492226768,30.72140568025703,30.91981331017419,30.70277751146042
2019-11-28 15:00:00,36.23,37.491166912414286,33.82538932834978,31.725150628930788,32.01006859265341,33.76294386558707
2019-11-28 16:00:00,38.05,39.96780121856153,34.32337680662492,32.88534886527217,33.408901801412576,35.146357172967804
2019-11-28 17:00:00,40.43,43.408165905198004,41.66314393329914,36.907393558029476,36.54974057243843,39.63211099224126
2019-11-28 18:00:00,40.58,36.990051417905775,37.49447557529765,35.483410123928586,35.52144173118836,36.37234471208009
2019-11-28 19:00:00,39.95,33.24966571184861,36.85765254214955,34.60655348268136,33.963490257454986,34.66934049853363
2019-11-28 20:00:00,36.16,30.775117756431513,30.96004683072428,30.53438557869677,30.843019025761468,30.778142297903507
2019-11-28 21:00:00,30.9,28.140390317372194,28.146872531640287,26.3614221569802,26.804553282773167,27.36330957219146
2019-11-28 22:00:00,28.46,26.25534042038696,25.661321457371532,26.492303724042454,26.853429069676572,26.31559866786938
2019-11-28 23:00:00,25.17,19.97323091403597,20.910943293747533,19.818872406310675,20.68019889288111,20.34581137674382
2019-11-29 00:00:00,23.95,15.500238290960347,15.637411237990337,21.130675954100877,21.765793613262506,18.508529774078514
2019-11-29 01:00:00,21.27,14.41787140488319,14.058618027456836,20.72125094933445,19.61976000985125,17.20437509788143
2019-11-29 02:00:00,11.79,11.266201409416949,11.031606664199456,18.518265642483765,18.17088353840737,14.746739313626886
2019-11-29 03:00:00,14.2,12.126478423149743,11.679288696811511,18.423067283747546,17.944878320671844,15.043428181095162
2019-11-29 04:00:00,27.56,17.071394768722207,14.806950694913967,20.221990243310326,19.95805752330676,18.014598307563315
2019-11-29 05:00:00,27.5,24.172152540467984,22.848455244054467,25.647590006469105,25.62678864483015,24.573746608955425
2019-11-29 06:00:00,39.86,34.13492265230814,33.62798610953587,35.142761106709514,35.749061637109946,34.66368287641587
2019-11-29 07:00:00,45.08,43.94359956463993,44.863591010929156,45.05744977157803,44.001978370631676,44.4666546794447
2019-11-29 08:00:00,45.89,45.724061472926024,46.07926810054438,47.84912787341197,47.053454878637325,46.676478081379926
2019-11-29 09:00:00,42.69,43.667059312968455,44.69680162925199,47.72394333780803,46.122608675326425,45.55260323883873
2019-11-29 10:00:00,42.42,41.510908082709044,42.51824183298505,47.81804173609761,45.8131933364829,44.415096247068654
2019-11-29 11:00:00,42.29,40.414563725162026,41.83553472739507,47.57139603027281,46.66474164959252,44.121559033105605
2019-11-29 12:00:00,41.65,38.155862555489115,39.003533255097,46.627969620984615,45.07363458295863,42.21525000363234
2019-11-29 13:00:00,42.22,41.05746635702151,40.64019071992611,46.88846862144001,45.625486019428884,43.55290292945413
2019-11-29 14:00:00,47.91,46.50504640852235,42.34127057690611,49.5635929786716,48.25827984365492,46.66704745193874
2019-11-29 15:00:00,51.04,48.94431192423972,48.738201813579494,52.9471261875049,50.49747688975313,50.28177920376931
